案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
“雪王”5000店出海：复制核心、适应本地、深度融入,"FDC-25055-1X-AC	",蜜雪冰城股份有限公司,doi.org/10.12156/FUDAN.CASE202505501,战略,酒店/住宿/餐饮,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,周萌,,中文,"蜜雪冰城, 出海, 本土化运营",中国式现代化,9,0,蜜雪冰城作为主打极致性价比的现制茶饮品牌，面对国内低端市场的竞争，亟需开辟第二增长曲线。通过构建“重供应链+轻加盟”的双轮驱动模式，蜜雪冰城精准锁定东南亚作为出海首站，在保持高度标准化的同时，从产品、供应链到渠道实施深度本土化改造。尽管面临成本失控等挑战，蜜雪冰城依托“双螺旋战略”在海外布局近5000家门店，实现了从单纯产品输出到产业生态融入的跨越。
米哈游：“二次元 + IP”为核心的游戏出海战略,FDC-25056-1X-AC,上海米哈游网络科技股份有限公司,doi.org/10.12156/FUDAN.CASE202505601,战略,互联网/信息/通讯,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,陈扬波,,中文,"米哈游, 出海, 二次元IP",科创,8,0,作为深耕二次元领域的独立游戏厂商，米哈游为突破国内市场竞争格局，确立了以原创IP为核心的全球化发展路径。企业通过建立新加坡总部HoYoverse，构建起国内研发与海外运营相互独立的双轨机制，并借助全平台同步发行及深度本土化策略打开国际市场。该模式助推其海外营收占比大幅提升，实现了从游戏产品输出向全球化IP生态构建的战略转型。
Temu的出海公式：颠覆性供应链的关键变量,FDC-25057-1X-AC,Temu,doi.org/10.12156/FUDAN.CASE202505701,运营与管理科学,互联网/信息/通讯,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,李先刚,,中文,"Temu, 出海, 供应链重构",科创,10,0,新兴电商平台Temu迅速渗透全球市场，其核心驱动力在于对传统跨境供应链进行了颠覆性的“全托管”重构。该模式通过剥离生产端的运营职能，使平台掌握了定价权与履约链路的控制，并将供应链成本压缩至极限。然而，面对“小额豁免”政策收紧等外部冲击，Temu亟需在保持成本优势的同时，推动供应链向本地化与合规化转型，以重塑其在全球贸易格局中的长期竞争力。
花西子：国潮美妆“文化出海”,FDC-25058-1X-AC,浙江宜格美妆集团有限公司,doi.org/10.12156/FUDAN.CASE202505801,市场营销,贸易/批发/零售,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,陈露娜,,中文,"花西子, 出海, 跨文化触达",中国式现代化,10,0,花西子作为主打“东方美学”的国货美妆品牌，面对国内市场流量见顶及中国品牌海外溢价能力不足的困境，选择了一条差异化的“文化出海”路径：避开传统的低价倾销模式，确立了以日本为首站、辐射欧美的高端化战略，通过将传统文化符号进行现代转译，实施“反向定价”与深度本土化运营。这一策略助其成功进入海外高端百货渠道并获得品牌溢价，探索出一条以文化独特性构建核心壁垒的全球化发展新路。
小佩宠物：智能创新引领全球宠物用品市场,FDC-25059-1X-AC,小佩网络科技（上海）有限公司,doi.org/10.12156/FUDAN.CASE202505901,市场营销,贸易/批发/零售,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,王啸林,,中文,"小佩宠物, 出海, 社群营销",中国式现代化,6,0,小佩宠物作为中国智能宠物用品领域的先行者，面对全球养宠精细化、科学化转型的机遇，确立了以技术创新解决养宠痛点的差异化战略。针对初创企业资源有限的挑战，小佩通过构建“渠道先行、爆品引流、社群深耕”的出海模式，利用众筹平台低成本验证市场，同时借助全渠道布局与深度用户运营建立品牌信任。这一策略助其产品销往全球40多个国家和地区，打破了海外市场对中国制造的认知壁垒。
海尔：扎根本土的国际领导力,FDC-25060-1X-AC,海尔集团公司,doi.org/10.12156/FUDAN.CASE202506001,组织行为,制造,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,张春依,周萌、辛月,中文,"海尔, 出海, 国际领导力",中国式现代化,9,0,有别于传统的代工出口模式，海尔集团坚持走自主品牌与优先进军发达市场的国际化道路。企业历经从名牌战略到生态品牌的演进，在海外市场通过本土化研发、并购整合与双品牌运营实现高端市场突破，并配套实施了从OEC管理到“人单合一”模式的组织变革，将传统科层制重塑为去中心化的赋能平台，助力其完成从传统制造巨头向物联网生态型企业的转型。
方太：以人为本的全球价值链创新,FDC-25061-1X-AC,宁波方太厨具有限公司,doi.org/10.12156/FUDAN.CASE202506101,组织行为,制造,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2025-10-01,张春依,,中文,"高端厨电, 技术创新, 标准引领",中国式现代化,5,0,为摆脱同质化竞争与低端代工困境，方太集团确立了“中学为体、西学为用”的高端自主品牌战略。企业聚焦“微笑曲线”两端，坚持每年高比例研发投入，构建起全球协同的创新网络，并针对北美与东南亚市场实施深度本土化产品定制。通过主导IEC等国际标准制定及重构产业链价值，方太成功实现了从单一产品制造向全球技术标准引领的跨越，确立了其在国际高端厨电领域的主导地位。
天合光能进军美国：灵活应对不确定性,FDC-26003-1X-AC,天合光能股份有限公司,doi.org/10.12156/FUDAN.CASE202600301,运营与管理科学,制造,复旦大学管理学院,案例文章,"MBA,EMBA,高层管理",2026-01-21,张洁友,吴乐珍、吴肖乐、樊瑞娜,中文,"供应链韧性, 贸易壁垒, 出海",科创,8,0,天合光能作为全球光伏能源提供商，面对美国市场长期的贸易壁垒及政策摇摆，采取了灵活的供应链布局策略，由早期的东南亚产能转移，逐步演进为赴美建设工厂。在面临美国政局更迭及产业补贴政策可能退坡的关键节点，天合光能迅速实施战略调整，完成了从重资产制造向“技术+品牌+资本”轻资产运营的切换。这一举措有效规避了政策断层带来的沉没成本风险，确保了其在全球核心市场的持续渗透与品牌影响力。
香港旅游发展局：讲好“新港风”故事,FDC-25048-1X-AC,香港旅游发展局,doi.org/10.12156/FUDAN.CASE202504801,市场营销,艺术/娱乐/体育/休闲,鲸鸿动能,案例文章,"本科生,MBA,EMBA,高层管理",2025-12-12,鲸鸿动能,案例中心,中文,文旅复苏，整合营销，精细化运营,数字中国,8,,“港风”作为一代人的独特记忆与情结，是中国香港吸引内地游客的重要文化符号。然而，近年来受各种外部因素影响，香港对内地游客的吸引力显著下滑。为了重塑城市美誉度，吸引高价值客群，香港旅游发展局与鲸鸿动能合作，依托精准人群定向、特色文旅策划及多终端沉浸式内容呈现，全方位重构“新港风”故事，有效促进了香港文旅市场的复苏。
鲸鸿动能：从生态支撑到全球竞逐,FDC-25050-1X-CC,华为技术有限公司,doi.org/10.12156/FUDAN.CASE202505001,市场营销,新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-12-15,"何雁群	","张春依,周萌",中文,生态构建，广告平台，商业变现,科创,24,0,2019年，华为海外手机使用谷歌移动服务受限，开始加速构建自有移动生态。然而，因缺乏成熟的广告变现渠道，开发者入驻意愿寥寥，生态建设面临生死存亡。为激活生态，华为推出了自建广告平台HUAWEI Ads（后升级为鲸鸿动能）。A案例聚焦该平台从0到1的破局之路：面对内外部重重挑战，华为如何建立起支撑生态的广告造血能力？B案例聚焦鲸鸿动能的未来战略定位：随着2025年华为手机业务重启全球出海，鲸鸿动能应当专注于服务华为生态内的应用变现，还是应作为独立平台在全球广告市场中竞逐？
抚痕倡议：为4亿中国妈妈推动改变,FDC-25011-1X-AC,宝宝树,doi.org/10.12156/FUDAN.CASE202501101,市场营销,互联网/信息/通讯,鲸鸿动能,案例文章,"本科生,MBA,EMBA,高层管理",2025-12-10,鲸鸿动能,案例中心,中文,"母婴平台, 社会共创, 生态协同",数字中国,18,0,"宝宝树是中国规模最大的互联网母婴社区平台，主要为年轻家庭提供全场景的育儿服务。随着母婴行业进入存量竞争阶段，传统营销已难以触达当代妈妈的真实痛点。为了突破浅层沟通困局、重建与用户的深度连接，宝宝树联合鲸鸿动能及创意机构胜加耀火，于2025年母亲节发起“抚痕倡议”社会共创运动。该项目聚焦生育损伤议题并打造了广泛的公众传播，从而实现与广大新手母亲深层的情感共鸣，成功探索了商业价值与社会价值的共生路径。

"
一位越来越重要的员工与他的老板：关键人力资本动态激励不相容下的纠结与突围,FDC-25046-1X-CC,匿名,doi.org/10.12156/FUDAN.CASE202504601,综合管理,其他,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-12-19,唐跃军,,中文,"公司治理,资源依赖,心理契约,博弈策略",,12,11,在一家“夫妻店”背景的民营企业，核心高管与创始人老板娘之间因资源控制权动态转移引发治理困境。老板娘因暂缓退休计划、悬置股权激励承诺，作为公司副总兼占1%股权的高管随后陷入地位与收益不匹配的焦虑。高管该如何选择以消除老板娘的威胁并保障自身收益与安全感？ 
理想汽车：新能源汽车操作系统开源探路者,FDC-25049-1X-CC,理想汽车,doi.org/10.12156/FUDAN.CASE202504901,信息技术,新能源,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-12-17,许博,"张洁友,朱宇非",中文,"智能电动汽车,操作系统,开源生态,技术创新",科创,11,17,新能源汽车行业正经历从电动化迈向智能化的转变，而操作系统是智能化的基础。汽车业界广泛使用的操作系统被国际巨头主导，依靠垄断地位坚持闭源策略。2025年，理想汽车成为全球首家汽车操作系统开源企业。这究竟是破局之举，还是冒险之路？ 
上海市儿童医院：后勤智慧管理新范式,FDC-25047-1X-CC,上海市儿童医院,doi.org/10.12156/FUDAN.CASE202504701,运营与管理科学,公用事业,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-12-17,李旭,"周萌,张春依",中文,"智慧医院数字化转型,数字化领导力,医疗机器人","科创,中国式现代化",19,20,上海市儿童医院在继“智慧医疗”和“智慧服务”建设取得显著成果之后，如何打开“智慧管理”的新局面？副院长杨晓东发现后勤管理依赖人工，存在差错率高、效率低、追溯困难等挑战，决定与科技公司合作开发适用于医院场景的机器人，开启 “智慧管理”变革。
业绩谎言背后：恒大缘何爆雷？,FDC-25034-1X-CC,恒大集团,doi.org/10.12156/FUDAN.CASE202503401,会计,房地产/租赁,复旦大学管理学院,标准案例,"本科生,MBA,EMBA",2025-09-25,钟覃琳,,中文,舞弊三角；房地产；收入会计准则；控制权转移,,35,17,房地产公司恒大集团在2021年爆发的债务危机引起了广泛关注。本案例从收入披露视角，检视其因激进财务策略与收入操纵而爆雷的过程，揭示了审计失效、内控缺失与销售导向的深层风险，由此探讨新收入准则下“控制权转移”与合同负债披露如何提升透明度这一关键问题。
君赛生物：创新疗法的商业化挑战,FDC-25035-1X-CC,上海君赛生物科技有限公司,doi.org/10.12156/FUDAN.CASE202503501,经济,生物技术/大健康,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-09-03,李玲芳,周逸洋，于佳平,中文,商业化战略；科创企业；生物医药；创新疗法,科创,20,15,君赛生物专注于肿瘤浸润淋巴细胞(TIL)创新疗法与新药开发，推出了创新型天然TIL与基因修饰TIL产品，解决了传统TIL疗法培养成功率低、工艺复杂、标准化难、临床局限性大等问题。君赛生物的创新疗法在实现商业化的过程中，需要应对市场竞争，建立内部激励机制，设计出可持续的商业模式，这是新的挑战。
丘钛微电子：研发知识管理,FDC-25036-1X-CC,昆山丘钛微电子科技股份有限公司,doi.org/10.12156/FUDAN.CASE202503601,其他,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-09-03,张成洪,李雅莹，高一楠，王啸林,中文,知识管理；知识萃取；AI技术；跨部门协作；员工激励,科创,18,18,昆山丘钛微电子是全球领先的摄像头及指纹识别模组制造商。本案例围绕丘钛的知识管理实践，探讨了以下关键问题：如何系统性梳理和萃取企业知识以避免技术断层，如何设计激励机制提升员工知识共享意愿，AI技术如何赋能知识管理以解决故障归因等实际问题，以及知识管理在复杂业务场景中如何实现可持续化运营。
天合光能：210创新生态引领者,FDC-25042-1X-CC,天合光能股份有限公司,doi.org/10.12156/FUDAN.CASE202504201,经济,新能源,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-11-18,骆品亮,贺媛，许天朗，戴溪，张洁友,中文,创新生态；价值创新；创新扩散；生态竞争；产业协同,"科创,中国式现代化",11,13,作为光伏行业领军企业，天合光能在行业陷入存量博弈与低价竞争的背景下，围绕技术创新—产业创新—生态创新—互利共赢的进化轨迹，率先打造210创新生态，即以210毫米大尺寸硅片为基础的新型光伏组件，试图探索一条规避“内卷”竞争的发展新思路。然而，随着210创新生态逐渐走向成熟，天合光能面临从生态创建者向生态治理者转型的挑战。
联想集团ESG的内生外化之路,FDC-25041-1X-CC,联想集团,doi.org/10.12156/FUDAN.CASE202503901,市场营销,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA",2025-09-29,庄雷,戴悦，兰清渠，张洁友,中文,ESG；供应链管理；SaaS定价；客户价值创造；营销战略,"科创,ESG",17,20,2023年，联想集团开始启动“ESG内生外化”战略——将其长期积累的ESG管理经验与方法（内生）通过数智化平台产品化，推出面向外部企业的ESG解决方案（外化）。内生与外化的连接器是联想集团自研的企业级ESG数字化平台——乐循。对乐循产品团队来说，如何对外营销，尤其是做好定价决策，是其最大的挑战。
影视飓风：内容创作者的“三难“,FDC-25039-1X-CC,影视飓风,doi.org/10.12156/FUDAN.CASE202503801,市场营销,艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,本科生,2025-09-15,房桢,王玉洁，刘圣明,中文,网红营销；内容生产策略；OKR团队管理；多元化战略,,22,31,自2015年创立以来，数码视频自媒体影视飓风在B站迅速崛起，形成以定制商单为核心的商业模式。然而，当团队规模扩张至百人、年营收突破亿元后，创作者初心与组织运营之间的矛盾日益凸显——商业项目带来了稳定收入，却也让内容趋于同质、创作节奏被客户需求牵制，粉丝对影视飓风的信任开始动摇。2023年，团队推行“创意先行”战略，通过自建创意库、筛选“同频客户”等多个举措在内容与商业之间寻求主动权。随着公司商业版图日益庞大，创始人Tim必须决定：影视飓风下一阶段应如何在保持商业可持续性的同时，坚守创作初心与粉丝信任？
小派科技的科创之路,FDC-25037-1X-CC,小派科技有限公司,doi.org/10.12156/FUDAN.CASE202503701,信息技术,高端装备,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2025-09-17,凌鸿,王玉洁，闵乾,中文,小派科技；VR眼镜；科创企业；创业；出海,科创,23,26,小派科技在创业早期凭借8K的VR头显在海外高端市场崭露头角。自2022年回归国内市场后，公司战略从C端转向B端，为教育、文娱等行业提供“VR语言教学实验室”“VR影院”等解决方案，仍坚持着硬件这一核心业务。近年来，随着客户需求的变化和业务模式的演进，管理层面临重要的抉择：坚守初心做好硬件还是全面转型为行业解决方案提供商？
鲸鸿动能：破局碎片化睡眠市场,FDC-25010-1X-AC,鲸鸿动能,doi.org/10.12156/FUDAN.CASE202501001,市场营销,互联网/信息/通讯,鲸鸿动能,案例文章,"本科生,MBA,EMBA,其他研究生,高层管理",2025-10-30,鲸鸿动能,案例中心,中文,"睡眠经济, 整合营销, 生态协同",数字中国,8,0,随着睡眠健康日益成为社会关注焦点，睡眠经济快速崛起，然而当前市场高度碎片化，智能穿戴、助眠内容及功能食品等领域的品牌厂家大都各自为战，难以形成协同效应。面对这一行业困境，鲸鸿动能联合喜马拉雅、光明乳业、瑞思迈等跨界品牌，借助世界睡眠日之机，整合华为全场景生态资源，助力睡眠健康产业从单点营销迈向生态协同，促进行业良性发展。
